ID,NAME,SUSTAIN_APP__CONSUMPTIONREPORT__C,SUSTAIN_APP__ENERGYCONSUMPTION__C
a024W00000I7UpCQAV,CFR-000001367,a034W00000VdN7rQAF,a094W00002EL3ixQAD
a024W00000I7UpDQAV,CFR-000001368,a034W00000VdN7uQAF,a094W00002EL3iZQAT
a024W00000I7UpEQAV,CFR-000001369,a034W00000VdN7vQAF,a094W00002EL3iBQAT
a024W00000I7UpFQAV,CFR-000001370,a034W00000VdN7rQAF,a094W00002EL3j2QAD
a024W00000I7UpGQAV,CFR-000001371,a034W00000VdN7uQAF,a094W00002EL3ieQAD
a024W00000I7UpHQAV,CFR-000001372,a034W00000VdN7vQAF,a094W00002EL3iGQAT
a024W00000I7UpIQAV,CFR-000001373,a034W00000VdN7rQAF,a094W00002EL3izQAD
a024W00000I7UpJQAV,CFR-000001374,a034W00000VdN7uQAF,a094W00002EL3ibQAD
a024W00000I7UpKQAV,CFR-000001375,a034W00000VdN7vQAF,a094W00002EL3iDQAT
a024W00000I7UpLQAV,CFR-000001376,a034W00000VdN7rQAF,a094W00002EL3j3QAD
a024W00000I7UpMQAV,CFR-000001377,a034W00000VdN7uQAF,a094W00002EL3ifQAD
a024W00000I7UpNQAV,CFR-000001378,a034W00000VdN7vQAF,a094W00002EL3iHQAT
a024W00000I7UpOQAV,CFR-000001379,a034W00000VdN7rQAF,a094W00002EL3ivQAD
a024W00000I7UpPQAV,CFR-000001380,a034W00000VdN7uQAF,a094W00002EL3iXQAT
a024W00000I7UpQQAV,CFR-000001381,a034W00000VdN7vQAF,a094W00002EL3i9QAD
a024W00000I7UpRQAV,CFR-000001382,a034W00000VdN7rQAF,a094W00002EL3iwQAD
a024W00000I7UpSQAV,CFR-000001383,a034W00000VdN7uQAF,a094W00002EL3iYQAT
a024W00000I7UpTQAV,CFR-000001384,a034W00000VdN7vQAF,a094W00002EL3iAQAT
a024W00000I7UpUQAV,CFR-000001385,a034W00000VdN7rQAF,a094W00002EL3j1QAD
a024W00000I7UpVQAV,CFR-000001386,a034W00000VdN7uQAF,a094W00002EL3idQAD
a024W00000I7UpWQAV,CFR-000001387,a034W00000VdN7vQAF,a094W00002EL3iFQAT
a024W00000I7UpXQAV,CFR-000001388,a034W00000VdN7rQAF,a094W00002EL3j4QAD
a024W00000I7UpYQAV,CFR-000001389,a034W00000VdN7uQAF,a094W00002EL3igQAD
a024W00000I7UpZQAV,CFR-000001390,a034W00000VdN7vQAF,a094W00002EL3iIQAT
a024W00000I7UpaQAF,CFR-000001391,a034W00000VdN7rQAF,a094W00002EL3iyQAD
a024W00000I7UpbQAF,CFR-000001392,a034W00000VdN7uQAF,a094W00002EL3iaQAD
a024W00000I7UpcQAF,CFR-000001393,a034W00000VdN7vQAF,a094W00002EL3iCQAT
a024W00000I7UpdQAF,CFR-000001394,a034W00000VdN7rQAF,a094W00002EL3itQAD
a024W00000I7UpeQAF,CFR-000001395,a034W00000VdN7uQAF,a094W00002EL3iVQAT
a024W00000I7UpfQAF,CFR-000001396,a034W00000VdN7vQAF,a094W00002EL3i7QAD
a024W00000I7UpgQAF,CFR-000001397,a034W00000VdN7rQAF,a094W00002EL3iuQAD
a024W00000I7UphQAF,CFR-000001398,a034W00000VdN7uQAF,a094W00002EL3iWQAT
a024W00000I7UpiQAF,CFR-000001399,a034W00000VdN7vQAF,a094W00002EL3i8QAD
